municipio_id,municipio,muni_area_km2,line_km_total,line_km_HV,line_km_MV,line_km_unknown,substation_count_distribution,substation_count_generation,substation_count_industrial,substation_count_minor_distribution,substation_count_switching,substation_count_transmission,substation_count_yes,plant_count,generator_count_diesel,generator_count_hydro,generator_count_oil,generator_count_solar,generator_count_wind,line_km_per_km2,HV_km_per_km2,grid_intensity_index
023,PR-023,186.4596278835883,30.15921398468422,0.10445029269401251,29.07008908160313,0.9846746103870825,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.0,0.0,0.16174661682535063,0.0005601764514902047,-2.6783504315588074
025,PR-025,153.25588967273342,38.480229271857375,29.396821790938453,0.7833839480909037,8.300023532828018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25108483174140356,0.1918152826211977,-0.8584941544055547
027,PR-027,121.66362840989214,7.944754431729836,7.944754431729836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06530098218806592,0.06530098218806592,-2.717595215790954
029,PR-029,85.62110745694615,29.020523905720125,28.57770402962583,0.0,0.4428198760942921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3389412350256372,0.33376938092042185,0.6036984180168319
031,PR-031,124.31331809454166,44.91091152568499,42.2440833414456,0.0,2.666828184239387,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.36127192334718106,0.3398194496692503,0.7621523269502115
033,PR-033,13.946683147121643,9.32042801911118,6.533320436528036,1.4794433004173184,1.3076642821658262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668289938244905,0.4684497645503907,3.2633461199478395
035,PR-035,134.84082120081257,65.23147522063263,33.91810562946848,30.703914709291368,0.6094548818727914,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4837665229247324,0.2515418204028565,0.7690392522772562
037,PR-037,78.3876663642792,23.567062302003407,10.897473643601105,12.669588658402299,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.3006475813743931,0.13902025853096475,0.9597902463265826
039,PR-039,173.22352006715613,37.53727817277721,35.88031304938047,0.0,1.6569651233967382,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2166985069823346,0.2071330327167478,-0.9276094835216289
041,PR-041,94.6040810290903,47.49629535742739,26.10208283439474,21.394212523032657,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5020533452761146,0.2759086347064507,1.0366114895700669
043,PR-043,202.56210061651223,25.180701314725365,0.9698937183242341,20.273004609142724,3.9378029872584075,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12431101987038098,0.0047881302344925,-2.8419668071659396
045,PR-045,74.03037688433223,39.86921190946178,9.048374660927847,26.17442759354132,4.646409654992615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5385520591331704,0.12222516001864152,0.13436282179554138
